Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
08/30/2013,25,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
08/31/2013,27,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/01/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/02/2013,28,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/03/2013,29,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/04/2013,30,,SAUVIE ISLAND-SIS,41-009-0004,AQS
09/05/2013,26,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/06/2013,25,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/07/2013,29,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/08/2013,30,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/09/2013,30,,Portland - SE Lafayette,41-051-0080,AQS
09/10/2013,34,,Portland - SE Lafayette,41-051-0080,AQS
09/11/2013,37,,Portland - SE Lafayette,41-051-0080,AQS
09/12/2013,35,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/13/2013,40,,Portland - SE Lafayette,41-051-0080,AQS
09/14/2013,51,,Portland - SE Lafayette,41-051-0080,AQS
09/15/2013,32,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/16/2013,24,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/17/2013,25,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/18/2013,26,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/19/2013,35,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
09/20/2013,26,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/21/2013,24,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/22/2013,24,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/23/2013,25,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/24/2013,24,,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",41-005-0102,AQS
09/25/2013,25,,Portland - SE Lafayette,41-051-0080,AQS
09/26/2013,37,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
09/27/2013,22,,Hillsboro - Hare Field,41-067-0004,AQS
09/28/2013,8,,Portland - SE Lafayette,41-051-0080,AQS
09/29/2013,10,,CARUS TRAILER/SPANGLER RD,41-005-0004,AQS
09/30/2013,18,,Portland - SE Lafayette,41-051-0080,AQS
10/01/2013,26,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/02/2013,32,,Hillsboro - Hare Field,41-067-0004,AQS
10/03/2013,58,,Portland - SE Lafayette,41-051-0080,AQS
10/04/2013,54,,Portland - SE Lafayette,41-051-0080,AQS
10/05/2013,65,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/06/2013,64,,Portland - SE Lafayette,41-051-0080,AQS
10/07/2013,18,,Portland - SE Lafayette,41-051-0080,AQS
10/08/2013,26,,Portland - SE Lafayette,41-051-0080,AQS
10/09/2013,49,,Portland - SE Lafayette,41-051-0080,AQS
10/10/2013,54,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/11/2013,51,,Portland - SE Lafayette,41-051-0080,AQS
10/12/2013,56,,Portland - SE Lafayette,41-051-0080,AQS
10/13/2013,54,,Portland - SE Lafayette,41-051-0080,AQS
10/14/2013,54,,Hillsboro - Hare Field,41-067-0004,AQS
10/15/2013,65,,YACOLT - YACOLT RD,53-011-0022,AQS
10/16/2013,65,,YACOLT - YACOLT RD,53-011-0022,AQS
10/17/2013,65,,YACOLT - YACOLT RD,53-011-0022,AQS
10/18/2013,63,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/19/2013,75,,Portland - SE Lafayette,41-051-0080,AQS
10/20/2013,76,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/21/2013,64,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/22/2013,59,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/23/2013,54,,Hillsboro - Hare Field,41-067-0004,AQS
10/24/2013,62,,Portland - SE Lafayette,41-051-0080,AQS
10/25/2013,63,,Portland - SE Lafayette,41-051-0080,AQS
10/26/2013,61,,Portland - SE Lafayette,41-051-0080,AQS
10/27/2013,58,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
10/28/2013,55,,Portland - SE Lafayette,41-051-0080,AQS
10/29/2013,72,,Portland - SE Lafayette,41-051-0080,AQS
10/30/2013,89,,Hillsboro - Hare Field,41-067-0004,AQS
10/31/2013,77,,Hillsboro - Hare Field,41-067-0004,AQS
11/01/2013,86,,Hillsboro - Hare Field,41-067-0004,AQS
11/02/2013,57,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/03/2013,60,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/04/2013,51,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/05/2013,48,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/06/2013,66,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/07/2013,35,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/08/2013,52,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/09/2013,64,,Hillsboro - Hare Field,41-067-0004,AQS
11/10/2013,56,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/11/2013,62,,Vancouver-NE Vancouver Plaza Dr,53-011-0023,AQS
11/12/2013,68,,Portland - SE Lafayette,41-051-0080,AQS
