Location,Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
Portland ME,1933,6,-0.079,-0.098,-0.092,-0.104
Portland ME,1933,7,-0.077,-0.098,-0.091,-0.104
Portland ME,1933,8,-0.1,-0.098,-0.091,-0.104
Portland ME,1933,9,-0.072,-0.097,-0.091,-0.104
Portland ME,1933,10,-0.137,-0.097,-0.091,-0.104
Portland ME,1933,11,-0.124,-0.097,-0.091,-0.103
Portland ME,1933,12,-0.144,-0.097,-0.091,-0.103
Portland ME,1934,1,-0.128,-0.097,-0.091,-0.103
Portland ME,1934,2,-0.184,-0.097,-0.09,-0.103
Portland ME,1934,3,-0.215,-0.097,-0.09,-0.103
Portland ME,1934,4,-0.124,-0.096,-0.09,-0.103
Portland ME,1934,5,-0.17,-0.096,-0.09,-0.102
Portland ME,1934,6,-0.103,-0.096,-0.09,-0.102
Portland ME,1934,7,-0.098,-0.096,-0.09,-0.102
Portland ME,1934,8,-0.136,-0.096,-0.089,-0.102
Portland ME,1934,9,-0.121,-0.096,-0.089,-0.102
Portland ME,1934,10,-0.097,-0.095,-0.089,-0.102
Portland ME,1934,11,-0.173,-0.095,-0.089,-0.101
Portland ME,1934,12,-0.126,-0.095,-0.089,-0.101
Portland ME,1935,1,-0.091,-0.095,-0.089,-0.101
Portland ME,1935,2,-0.159,-0.095,-0.089,-0.101
Portland ME,1935,3,-0.127,-0.095,-0.088,-0.101
Portland ME,1935,4,-0.06,-0.094,-0.088,-0.101
Portland ME,1935,5,-0.115,-0.094,-0.088,-0.1
Portland ME,1935,6,-0.067,-0.094,-0.088,-0.1
Portland ME,1935,7,-0.126,-0.094,-0.088,-0.1
Portland ME,1935,8,-0.115,-0.094,-0.088,-0.1
Portland ME,1935,9,-0.124,-0.094,-0.088,-0.1
Portland ME,1935,10,-0.155,-0.093,-0.087,-0.1
Portland ME,1935,11,-0.06,-0.093,-0.087,-0.099
Portland ME,1935,12,-0.049,-0.093,-0.087,-0.099
Portland ME,1936,1,-0.064,-0.093,-0.087,-0.099
Portland ME,1936,2,-0.092,-0.093,-0.087,-0.099
Portland ME,1936,3,-0.072,-0.093,-0.087,-0.099
Portland ME,1936,4,-0.115,-0.093,-0.086,-0.099
Portland ME,1936,5,-0.136,-0.092,-0.086,-0.098
Portland ME,1936,6,-0.119,-0.092,-0.086,-0.098
Portland ME,1936,7,-0.065,-0.092,-0.086,-0.098
Portland ME,1936,8,-0.118,-0.092,-0.086,-0.098
Portland ME,1936,9,-0.115,-0.092,-0.086,-0.098
Portland ME,1936,10,-0.107,-0.092,-0.086,-0.098
Portland ME,1936,11,-0.155,-0.091,-0.085,-0.097
Portland ME,1936,12,-0.168,-0.091,-0.085,-0.097
Portland ME,1937,1,-0.149,-0.091,-0.085,-0.097
Portland ME,1937,2,-0.007,-0.091,-0.085,-0.097
Portland ME,1937,3,-0.13,-0.091,-0.085,-0.097
Portland ME,1937,4,-0.115,-0.091,-0.085,-0.097
Portland ME,1937,5,-0.072,-0.09,-0.085,-0.096
Portland ME,1937,6,-0.094,-0.09,-0.084,-0.096
Portland ME,1937,7,-0.083,-0.09,-0.084,-0.096
Portland ME,1937,8,-0.124,-0.09,-0.084,-0.096
Portland ME,1937,9,-0.124,-0.09,-0.084,-0.096
Portland ME,1937,10,-0.134,-0.09,-0.084,-0.096
Portland ME,1937,11,-0.112,-0.09,-0.084,-0.095
Portland ME,1937,12,-0.119,-0.089,-0.083,-0.095
Portland ME,1938,1,-0.067,-0.089,-0.083,-0.095
Portland ME,1938,2,-0.089,-0.089,-0.083,-0.095
Portland ME,1938,3,-0.057,-0.089,-0.083,-0.095
Portland ME,1938,4,-0.115,-0.089,-0.083,-0.095
Portland ME,1938,5,-0.072,-0.089,-0.083,-0.094
Portland ME,1938,6,-0.112,-0.088,-0.083,-0.094
Portland ME,1938,7,-0.111,-0.088,-0.082,-0.094
Portland ME,1938,8,-0.078,-0.088,-0.082,-0.094
Portland ME,1938,9,-0.112,-0.088,-0.082,-0.094
Portland ME,1938,10,-0.079,-0.088,-0.082,-0.094
Portland ME,1938,11,-0.112,-0.088,-0.082,-0.093
Portland ME,1938,12,-0.116,-0.087,-0.082,-0.093
Portland ME,1939,1,-0.134,-0.087,-0.081,-0.093
Portland ME,1939,2,-0.15,-0.087,-0.081,-0.093
Portland ME,1939,3,-0.139,-0.087,-0.081,-0.093
Portland ME,1939,4,-0.121,-0.087,-0.081,-0.093
Portland ME,1939,5,-0.118,-0.087,-0.081,-0.092
Portland ME,1939,6,-0.116,-0.087,-0.081,-0.092
Portland ME,1939,7,-0.108,-0.086,-0.081,-0.092
Portland ME,1939,8,-0.1,-0.086,-0.08,-0.092
Portland ME,1939,9,-0.097,-0.086,-0.08,-0.092
Portland ME,1939,10,-0.107,-0.086,-0.08,-0.092
Portland ME,1939,11,-0.161,-0.086,-0.08,-0.091
Portland ME,1939,12,-0.08,-0.086,-0.08,-0.091
Portland ME,1940,1,-0.097,-0.085,-0.08,-0.091
Portland ME,1940,2,-0.004,-0.085,-0.08,-0.091
Portland ME,1940,3,-0.078,-0.085,-0.079,-0.091
Portland ME,1940,4,-0.081,-0.085,-0.079,-0.091
Portland ME,1940,5,-0.026,-0.085,-0.079,-0.09
Portland ME,1940,6,-0.055,-0.085,-0.079,-0.09
Portland ME,1940,7,-0.098,-0.084,-0.079,-0.09
Portland ME,1940,8,-0.127,-0.084,-0.079,-0.09
Portland ME,1940,9,-0.103,-0.084,-0.078,-0.09
Portland ME,1940,10,-0.11,-0.084,-0.078,-0.09
Portland ME,1940,11,-0.121,-0.084,-0.078,-0.089
Portland ME,1940,12,-0.095,-0.084,-0.078,-0.089
Portland ME,1941,1,-0.061,-0.083,-0.078,-0.089
Portland ME,1941,2,-0.077,-0.083,-0.078,-0.089
Portland ME,1941,3,-0.108,-0.083,-0.078,-0.089
Portland ME,1941,4,-0.112,-0.083,-0.077,-0.089
Portland ME,1941,5,-0.072,-0.083,-0.077,-0.088
Portland ME,1941,6,-0.079,-0.083,-0.077,-0.088
Portland ME,1941,7,-0.086,-0.083,-0.077,-0.088
Portland ME,1941,8,-0.081,-0.082,-0.077,-0.088
Portland ME,1941,9,-0.1,-0.082,-0.077,-0.088
Portland ME,1941,10,-0.113,-0.082,-0.076,-0.088
Portland ME,1941,11,-0.133,-0.082,-0.076,-0.087
Portland ME,1941,12,-0.116,-0.082,-0.076,-0.087
Portland ME,1942,1,-0.119,-0.082,-0.076,-0.087
Portland ME,1942,2,-0.031,-0.081,-0.076,-0.087
Portland ME,1942,3,-0.053,-0.081,-0.076,-0.087
Portland ME,1942,4,-0.066,-0.081,-0.076,-0.087
Portland ME,1942,5,-0.096,-0.081,-0.075,-0.086
Portland ME,1942,6,-0.064,-0.081,-0.075,-0.086
Portland ME,1942,7,-0.077,-0.081,-0.075,-0.086
Portland ME,1942,8,-0.106,-0.08,-0.075,-0.086
Portland ME,1942,9,-0.078,-0.08,-0.075,-0.086
Portland ME,1942,10,-0.11,-0.08,-0.075,-0.086
Portland ME,1942,11,-0.1,-0.08,-0.075,-0.085
Portland ME,1942,12,-0.107,-0.08,-0.074,-0.085
Portland ME,1943,1,-0.161,-0.08,-0.074,-0.085
Portland ME,1943,2,-0.12,-0.08,-0.074,-0.085
Portland ME,1943,3,-0.175,-0.079,-0.074,-0.085
Portland ME,1943,4,-0.127,-0.079,-0.074,-0.085
Portland ME,1943,5,-0.136,-0.079,-0.074,-0.084
Portland ME,1943,6,-0.088,-0.079,-0.073,-0.084
Portland ME,1943,7,-0.086,-0.079,-0.073,-0.084
Portland ME,1943,8,-0.048,-0.079,-0.073,-0.084
Portland ME,1943,9,-0.087,-0.078,-0.073,-0.084
Portland ME,1943,10,-0.018,-0.078,-0.073,-0.084
Portland ME,1943,11,-0.039,-0.078,-0.073,-0.084
Portland ME,1943,12,-0.141,-0.078,-0.073,-0.083
Portland ME,1944,1,-0.103,-0.078,-0.072,-0.083
Portland ME,1944,2,-0.114,-0.078,-0.072,-0.083
Portland ME,1944,3,-0.145,-0.077,-0.072,-0.083
Portland ME,1944,4,-0.097,-0.077,-0.072,-0.083
Portland ME,1944,5,-0.13,-0.077,-0.072,-0.083
Portland ME,1944,6,-0.058,-0.077,-0.072,-0.082
Portland ME,1944,7,-0.065,-0.077,-0.071,-0.082
Portland ME,1944,8,-0.075,-0.077,-0.071,-0.082
Portland ME,1944,9,-0.075,-0.077,-0.071,-0.082
Portland ME,1944,10,-0.104,-0.076,-0.071,-0.082
Portland ME,1944,11,0.025,-0.076,-0.071,-0.082
Portland ME,1944,12,-0.098,-0.076,-0.071,-0.081
Portland ME,1945,1,-0.076,-0.076,-0.071,-0.081
Portland ME,1945,2,-0.105,-0.076,-0.07,-0.081
Portland ME,1945,3,-0.06,-0.076,-0.07,-0.081
Portland ME,1945,4,-0.084,-0.075,-0.07,-0.081
Portland ME,1945,5,-0.026,-0.075,-0.07,-0.081
Portland ME,1945,6,-0.073,-0.075,-0.07,-0.08
Portland ME,1945,7,-0.089,-0.075,-0.07,-0.08
Portland ME,1945,8,-0.09,-0.075,-0.069,-0.08
Portland ME,1945,9,-0.097,-0.075,-0.069,-0.08
Portland ME,1945,10,-0.058,-0.074,-0.069,-0.08
Portland ME,1945,11,-0.027,-0.074,-0.069,-0.08
